variable,importance
puntaje,0.6665300626913135
puntaje_datacredito,0.03578154592637181
capital_prestado,0.02536085987100103
edad_cliente,0.02438558602569379
huella_consulta,0.023396504461313167
cuota_pactada,0.022803615770485855
promedio_ingresos_datacredito,0.021873328947675096
total_otros_prestamos,0.019913958352305156
saldo_principal,0.019500426407663182
plazo_meses,0.01930177726658914
saldo_total,0.019190393473387055
salario_cliente,0.018517183492570727
mes_prestamo,0.01489651467116499
cant_creditosvigentes,0.013431002148335428
creditos_sectorfinanciero,0.01135941415342458
creditos_sectorreal,0.009743981324154202
creditos_sectorcooperativo,0.004615855900285351
anio_prestamo,0.004297447438609485
saldo_mora,0.003424097995974719
tendencia_ingresos_Creciente,0.0033013109856480953
tipo_laboral_Empleado,0.0030672828106215228
tendencia_ingresos_nan,0.0030357057867663063
tipo_laboral_Independiente,0.0025847634963948496
tipo_credito_4,0.002465513474277679
tipo_credito_9,0.0024042569587910028
tendencia_ingresos_Estable,0.0019038937183019345
tendencia_ingresos_Decreciente,0.0017882992794255282
tipo_credito_6,0.0005417448892357853
tipo_credito_10,0.00047657651870284065
tendencia_ingresos_0,1.309034904770244e-05
tendencia_ingresos_1000000,1.2800012801260509e-05
saldo_mora_codeudor,8.75854276774507e-06
tendencia_ingresos_1817052,6.494850812759499e-06
tendencia_ingresos_10808,5.7828587670242075e-06
tendencia_ingresos_8315,5.527584612140248e-06
tendencia_ingresos_-28589,4.1182360383606195e-06
tendencia_ingresos_9090,3.8975600324098145e-06
tipo_credito_7,3.7866383546803562e-06
tendencia_ingresos_77975,3.7700332985917336e-06
tipo_credito_68,3.646610382261262e-06
tendencia_ingresos_54683,3.3146673844400028e-06
tendencia_ingresos_24702,2.7036251808137836e-06
tendencia_ingresos_9147,2.553752435470391e-06
tendencia_ingresos_17181,2.228398779938024e-06
tendencia_ingresos_15245,2.1110762828021327e-06
tendencia_ingresos_-288,2.1031060172710496e-06
tendencia_ingresos_3978,2.1012901929956158e-06
tendencia_ingresos_-566272,1.9959059786653487e-06
tendencia_ingresos_22832,1.917522820101208e-06
tendencia_ingresos_1123000,1.735327913450027e-06
tendencia_ingresos_5697,1.711122865171749e-06
tendencia_ingresos_31837,1.5723807253030405e-06
tendencia_ingresos_417087,1.5090322866836165e-06
tendencia_ingresos_-70715,1.164098626561889e-06
tendencia_ingresos_2029000,1.1430221336582747e-06
tendencia_ingresos_52862,1.0062874934992423e-06
tendencia_ingresos_-435177,7.792949033560659e-07
tendencia_ingresos_168750,7.636641423441242e-07
tendencia_ingresos_146918,7.223811311990928e-07
tendencia_ingresos_15090,7.120930536864788e-07
tendencia_ingresos_-101368,6.839642727829886e-07
tendencia_ingresos_86286,3.0569750377527304e-07
tendencia_ingresos_-224714,1.7981511422072582e-07
tendencia_ingresos_-4105,1.3210867409762072e-07
tendencia_ingresos_75761,1.1815925520793585e-07
tendencia_ingresos_22363,9.178455069709378e-08
tendencia_ingresos_-164315,3.851787143893392e-08
tendencia_ingresos_65988,2.4389011635884287e-08
tendencia_ingresos_122727,1.7911319110349795e-17
